Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2013,17,001000,095,0005,00113 ,11891 ,3319 ,999,99999, , ,61410      ,2,3,12,Abingdon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,17,002800,043,0015,00243 ,00250 ,36942 ,176,16980, , ,601012786  ,2,3,12,Addison village,3,3,700000,0,0,0,0,0,0,0,0,0,3,3,700000,0,0,0,0,0,0,0,0,0
2013,17,004900,195,0025,00516 ,00529 ,891 ,999,99999, , ,61230      ,2,3,12,Albany village,4,4,680000,0,0,0,0,0,0,0,0,0,4,4,680000,0,0,0,0,0,0,0,0,0
2013,17,005200,027,0030,00555 ,44667 ,1190 ,476,41180, , ,62215      ,2,3,12,Albers village,3,3,575000,0,0,0,0,0,0,0,0,0,3,3,575000,0,0,0,0,0,0,0,0,0
2013,17,006100,131,0040,00646 ,48398 ,3640 ,999,19340, , ,61231      ,2,3,12,Aledo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,17,006400,003,    ,99990 ,00000 ,3552 ,164,16020,2, ,62969      ,2,3,0,Alexander County Unincorporated Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,17,007000,187,0045,00672 ,72065 ,498 ,999,99999,2, ,61412      ,2,3,12,Alexis village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,17,007900,111,0050,00685 ,00698 ,21613 ,176,16980,2, ,60102      ,2,3,12,Algonquin village,4,4,1355749,0,0,0,0,0,0,0,0,0,4,4,1355749,0,0,0,0,0,0,0,0,0
2013,17,008500,119,0055,00737 ,00750 ,681 ,476,41180, , ,62001      ,2,3,12,Alhambra village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,17,009400,185,0060,00815 ,00000 ,475 ,999,99999, , ,62410      ,2,3,12,Allendale village,1,1,90000,0,0,0,0,0,0,0,0,0,1,1,90000,0,0,0,0,0,0,0,0,0
2013,17,009700,139,0065,00867 ,22099 ,148 ,999,99999, , ,61951      ,2,3,0,Allenville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,17,010300,183,0070,00880 ,69849 ,291 ,999,19180,2, ,61810      ,2,3,12,Allerton village,1,1,160000,0,0,0,0,0,0,0,0,0,1,1,160000,0,0,0,0,0,0,0,0,0
2013,17,012100,073,0085,00971 ,57108 ,671 ,999,19340, , ,61413      ,2,3,12,Alpha village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
