Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2004,02,009000,013,0070,999,99999, , ,99503      ,4,9,0,Akutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,02,041000,020,0140,999,11260, ,1,995196650  ,4,9,12,Municipality of Anchorage,767,767,192698032,228,456,71602564,17,66,7823930,53,486,59451479,767,767,192698032,228,456,71602564,17,66,7823930,53,486,59451479
2004,02,049000,232,0160,999,99999, , ,99820      ,4,9,12,Angoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,02,069000,000,    ,999,99999,2, ,99519      ,4,9,0,Balance of State-Part 1 Anchorage,105,105,18294389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,02,073000,000,    ,999,99999,2, ,99707      ,4,9,0,Balance of State-Part 2 Fairbanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,02,077000,000,    ,999,99999,2, ,99801      ,4,9,0,Balance of State-Part 3 Juneau,97,97,20497000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,02,085000,050,0310,999,99999, , ,99559      ,4,9,12,Bethel,69,69,10200000,0,0,0,0,0,0,0,0,0,69,69,10200000,0,0,0,0,0,0,0,0,0
2004,02,097000,060,    ,999,99999, , ,99633      ,4,9,11,Bristol Bay Borough,1,1,120000,0,0,0,0,0,0,0,0,0,1,1,120000,0,0,0,0,0,0,0,0,0
2004,02,133000,261,0820,999,99999,2, ,99574      ,4,9,12,Cordova,11,11,1917000,0,0,0,0,0,0,0,0,0,11,11,1917000,0,0,0,0,0,0,0,0,0
2004,02,137000,201,0830,999,99999, , ,99921      ,4,9,12,Craig,7,7,1134117,0,0,0,0,0,0,0,0,0,7,7,1134117,0,0,0,0,0,0,0,0,0
2004,02,177000,090,1080,999,21820, ,1,99701      ,4,9,0,Fairbanks,12,12,1101888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,02,181000,090,    ,999,21820, , ,99707      ,4,9,11,Fairbanks North Star Borough Unincorporated Area,167,167,28282605,19,38,3305928,5,19,1712500,7,50,5900000,148,148,25084673,19,38,3305928,4,16,1420000,7,50,5900000
2004,02,209000,100,    ,999,99999,2, ,99827      ,4,9,12,Haines borough,4,4,520000,0,0,0,0,0,0,0,0,0,4,4,520000,0,0,0,0,0,0,0,0,0
2004,02,221000,122,1370,999,99999, , ,99603      ,4,9,12,Homer,31,31,4971500,3,6,1172000,0,0,0,1,8,850000,31,31,4971500,3,6,1172000,0,0,0,1,8,850000
2004,02,233000,170,1410,999,11260,2, ,996940027  ,4,9,0,Houston,54,54,5940000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,02,253000,110,    ,999,99999, , ,99801      ,4,9,12,Juneau Borough,68,68,18126949,11,22,4027707,5,20,2829106,2,12,1543516,68,68,18126949,11,22,4027707,5,20,2829106,2,12,1543516
2004,02,277000,122,1630,999,99999, , ,99611      ,4,9,12,Kenai,19,19,2984000,0,0,0,0,0,0,0,0,0,19,19,2984000,0,0,0,0,0,0,0,0,0
2004,02,289000,130,    ,999,99999, , ,99901      ,4,9,12,Ketchikan Gateway Borough,40,40,6512906,1,2,196323,0,0,0,0,0,0,40,40,6512906,1,2,196323,0,0,0,0,0,0
